Statement	Indicator	Title	Quantopian
Entity	sharesbas	Shares (Basic)	valuation.shares_outstanding
Ticker	Industry		asset_classification.morningstar_industry_code
Ticker	Sector		asset_classification.morningstar_sector_code
Ticker	SIC		asset_classification.sic
			
Ticker	Delisted From		NA
Balance Sheet	deposits	Deposit Liabilities	NA
Cash Flow	ncfbus	Net Cash Flow - Business Acquisitions and Disposals	NA
Cash Flow	ncfinv	Net Cash Flow - Investment Acquisitions and Disposals	NA
Income Statement	consolinc	Consolidated Income	NA
Income Statement	netincnci	Net Income to Non-Controlling Interests	NA
